draw,date,actual,predictions,mainline,support,hit_type,mark
6085,2022-11-17,930,645 / 648 / 695 / 642 / 675,645 / 648,695 / 642 / 675,none,×
6086,2022-11-18,947,808 / 848 / 805 / 845 / 908,808 / 848,805 / 845 / 908,none,×
6087,2022-11-21,590,849 / 839 / 842 / 832 / 879,849 / 839,842 / 832 / 879,none,×
6088,2022-11-22,348,838 / 638 / 938 / 835 / 635,838 / 638,938 / 835 / 635,none,×
6089,2022-11-23,533,648 / 638 / 645 / 641 / 635,648 / 638,645 / 641 / 635,none,×
6090,2022-11-24,438,841 / 847 / 648 / 641 / 647,841 / 847,648 / 641 / 647,none,×
6091,2022-11-25,424,948 / 908 / 945 / 941 / 938,948 / 908,945 / 941 / 938,none,×
6092,2022-11-28,754,948 / 945 / 942 / 978 / 968,948 / 945,942 / 978 / 968,none,×
6093,2022-11-29,386,648 / 608 / 645 / 638 / 698,648 / 608,645 / 638 / 698,box,〇
6094,2022-11-30,589,605 / 607 / 635 / 602 / 645,605 / 607,635 / 602 / 645,none,×
6095,2022-12-01,978,805 / 605 / 905 / 608 / 808,805 / 605,905 / 608 / 808,none,×
6096,2022-12-02,447,838 / 938 / 848 / 808 / 948,838 / 938,848 / 808 / 948,none,×
6097,2022-12-05,468,949 / 939 / 942 / 932 / 948,949 / 939,942 / 932 / 948,none,×
6098,2022-12-06,658,948 / 908 / 978 / 945 / 941,948 / 908,978 / 945 / 941,none,×
6099,2022-12-07,745,648 / 608 / 698 / 638 / 658,648 / 608,698 / 638 / 658,none,×
6100,2022-12-08,671,642 / 632 / 942 / 648 / 672,642 / 632,942 / 648 / 672,none,×
6101,2022-12-09,742,648 / 645 / 642 / 638 / 608,648 / 645,642 / 638 / 608,none,×
6102,2022-12-12,636,641 / 631 / 671 / 941 / 648,641 / 631,671 / 941 / 648,none,×
6103,2022-12-13,638,645 / 647 / 745 / 642 / 605,645 / 647,745 / 642 / 605,none,×
6104,2022-12-14,799,648 / 608 / 638 / 645 / 748,648 / 608,638 / 645 / 748,none,×
6105,2022-12-15,613,638 / 635 / 631 / 632 / 658,638 / 635,631 / 632 / 658,box,〇
6106,2022-12-16,559,608 / 638 / 601 / 708 / 607,608 / 638,601 / 708 / 607,none,×
6107,2022-12-19,460,648 / 645 / 638 / 635 / 698,648 / 645,638 / 635 / 698,none,×
6108,2022-12-20,229,948 / 908 / 978 / 648 / 748,948 / 908,978 / 648 / 748,none,×
6109,2022-12-21,947,348 / 345 / 645 / 648 / 945,348 / 345,645 / 648 / 945,none,×
6110,2022-12-22,035,649 / 849 / 639 / 839 / 949,649 / 849,639 / 839 / 949,none,×
6111,2022-12-23,329,642 / 632 / 648 / 602 / 242,642 / 632,648 / 602 / 242,none,×
6112,2022-12-26,857,645 / 648 / 695 / 698 / 641,645 / 648,695 / 698 / 641,none,×
6113,2022-12-27,929,649 / 639 / 609 / 659 / 699,649 / 639,609 / 659 / 699,none,×
6114,2022-12-28,958,945 / 845 / 948 / 645 / 648,945 / 845,948 / 645 / 648,none,×
6115,2022-12-29,194,948 / 938 / 648 / 908 / 848,948 / 938,648 / 908 / 848,none,×
6116,2022-12-30,953,338 / 335 / 038 / 838 / 035,338 / 335,038 / 838 / 035,none,×
6117,2023-01-04,091,948 / 938 / 958 / 908 / 648,948 / 938,958 / 908 / 648,none,×
6118,2023-01-05,433,638 / 635 / 632 / 630 / 658,638 / 635,632 / 630 / 658,none,×
6119,2023-01-06,185,948 / 941 / 938 / 947 / 908,948 / 941,938 / 947 / 908,none,×
6120,2023-01-09,661,302 / 342 / 332 / 352 / 308,302 / 342,332 / 352 / 308,none,×
6121,2023-01-10,203,645 / 648 / 642 / 605 / 608,645 / 648,642 / 605 / 608,none,×
6122,2023-01-11,895,638 / 938 / 631 / 338 / 931,638 / 938,631 / 338 / 931,none,×
6123,2023-01-12,055,632 / 638 / 652 / 635 / 932,632 / 638,652 / 635 / 932,none,×
6124,2023-01-13,118,692 / 642 / 632 / 652 / 602,692 / 642,632 / 652 / 602,none,×
6125,2023-01-16,169,308 / 338 / 358 / 008 / 305,308 / 338,358 / 008 / 305,none,×
6126,2023-01-17,625,348 / 345 / 308 / 305 / 048,348 / 345,308 / 305 / 048,none,×
6127,2023-01-18,963,642 / 652 / 648 / 692 / 662,642 / 652,648 / 692 / 662,none,×
6128,2023-01-19,611,948 / 908 / 648 / 941 / 608,948 / 908,648 / 941 / 608,none,×
6129,2023-01-20,630,605 / 608 / 635 / 638 / 602,605 / 608,635 / 638 / 602,none,×
6130,2023-01-23,606,648 / 638 / 608 / 645 / 658,648 / 638,608 / 645 / 658,none,×
6131,2023-01-24,167,635 / 637 / 639 / 638 / 630,635 / 637,639 / 638 / 630,none,×
6132,2023-01-25,252,309 / 349 / 049 / 609 / 009,309 / 349,049 / 609 / 009,none,×
6133,2023-01-26,637,631 / 641 / 651 / 691 / 601,631 / 641,651 / 691 / 601,none,×
6134,2023-01-27,310,649 / 639 / 609 / 659 / 648,649 / 639,609 / 659 / 648,none,×
6135,2023-01-30,108,638 / 608 / 658 / 635 / 605,638 / 608,658 / 635 / 605,none,×
6136,2023-01-31,482,338 / 638 / 038 / 838 / 335,338 / 638,038 / 838 / 335,none,×
6137,2023-02-01,226,901 / 931 / 951 / 601 / 941,901 / 931,951 / 601 / 941,none,×
6138,2023-02-02,596,645 / 655 / 657 / 647 / 665,645 / 655,657 / 647 / 665,none,×
6139,2023-02-03,566,635 / 637 / 935 / 655 / 657,635 / 637,935 / 655 / 657,none,×
6140,2023-02-06,514,605 / 645 / 607 / 647 / 905,605 / 645,607 / 647 / 905,none,×
6141,2023-02-07,168,608 / 605 / 638 / 635 / 908,608 / 605,638 / 635 / 908,none,×
6142,2023-02-08,716,308 / 348 / 358 / 048 / 608,308 / 348,358 / 048 / 608,none,×
6143,2023-02-09,310,605 / 607 / 635 / 637 / 608,605 / 607,635 / 637 / 608,none,×
6144,2023-02-10,470,608 / 638 / 658 / 618 / 605,608 / 638,658 / 618 / 605,none,×
6145,2023-02-13,309,938 / 948 / 908 / 638 / 648,938 / 948,908 / 638 / 648,none,×
6146,2023-02-14,727,638 / 635 / 631 / 658 / 608,638 / 635,631 / 658 / 608,none,×
6147,2023-02-15,268,659 / 649 / 669 / 658 / 648,659 / 649,669 / 658 / 648,none,×
6148,2023-02-16,657,648 / 608 / 348 / 308 / 658,648 / 608,348 / 308 / 658,none,×
6149,2023-02-17,986,659 / 639 / 649 / 658 / 699,659 / 639,649 / 658 / 699,none,×
6150,2023-02-20,800,907 / 957 / 657 / 607 / 905,907 / 957,657 / 607 / 905,none,×
6151,2023-02-21,520,638 / 658 / 608 / 635 / 648,638 / 658,608 / 635 / 648,none,×
6152,2023-02-22,460,658 / 668 / 648 / 968 / 958,658 / 668,648 / 968 / 958,none,×
6153,2023-02-23,909,908 / 948 / 958 / 608 / 968,908 / 948,958 / 608 / 968,none,×
6154,2023-02-24,432,938 / 638 / 935 / 635 / 838,938 / 638,935 / 635 / 838,none,×
6155,2023-02-27,424,941 / 901 / 931 / 951 / 908,941 / 901,931 / 951 / 908,none,×
6156,2023-02-28,715,968 / 958 / 948 / 928 / 965,968 / 958,948 / 928 / 965,none,×
6157,2023-03-01,989,602 / 608 / 632 / 652 / 638,602 / 608,632 / 652 / 638,none,×
6158,2023-03-02,474,908 / 608 / 905 / 958 / 938,908 / 608,905 / 958 / 938,none,×
6159,2023-03-03,609,938 / 908 / 948 / 935 / 905,938 / 908,948 / 935 / 905,none,×
6160,2023-03-06,145,638 / 635 / 738 / 608 / 631,638 / 635,738 / 608 / 631,none,×
6161,2023-03-07,276,332 / 338 / 342 / 632 / 348,332 / 338,342 / 632 / 348,none,×
6162,2023-03-08,175,607 / 635 / 637 / 605 / 645,607 / 635,637 / 605 / 645,none,×
6163,2023-03-09,092,302 / 332 / 308 / 342 / 338,302 / 332,308 / 342 / 338,none,×
6164,2023-03-10,429,631 / 638 / 637 / 635 / 651,631 / 638,637 / 635 / 651,none,×
6165,2023-03-13,674,965 / 968 / 958 / 945 / 955,965 / 968,958 / 945 / 955,none,×
6166,2023-03-14,144,608 / 638 / 605 / 635 / 648,608 / 638,605 / 635 / 648,none,×
6167,2023-03-15,134,338 / 335 / 348 / 378 / 638,338 / 335,348 / 378 / 638,none,×
6168,2023-03-16,232,308 / 348 / 338 / 305 / 345,308 / 348,338 / 305 / 345,none,×
6169,2023-03-17,161,631 / 601 / 641 / 931 / 638,631 / 601,641 / 931 / 638,none,×
6170,2023-03-20,675,308 / 305 / 378 / 375 / 302,308 / 305,378 / 375 / 302,none,×
6171,2023-03-21,337,632 / 602 / 642 / 608 / 638,632 / 602,642 / 608 / 638,none,×
6172,2023-03-22,928,609 / 639 / 649 / 608 / 619,609 / 639,649 / 608 / 619,none,×
6173,2023-03-23,325,968 / 668 / 168 / 658 / 678,968 / 668,168 / 658 / 678,none,×
6174,2023-03-24,484,662 / 652 / 672 / 622 / 642,662 / 652,672 / 622 / 642,none,×
6175,2023-03-27,321,905 / 908 / 935 / 605 / 608,905 / 908,935 / 605 / 608,none,×
6176,2023-03-28,137,665 / 625 / 668 / 675 / 628,665 / 625,668 / 675 / 628,none,×
6177,2023-03-29,320,309 / 339 / 349 / 308 / 338,309 / 339,349 / 308 / 338,none,×
6178,2023-03-30,839,628 / 668 / 658 / 678 / 648,628 / 668,658 / 678 / 648,none,×
6179,2023-03-31,694,635 / 605 / 645 / 638 / 608,635 / 605,645 / 638 / 608,none,×
6180,2023-04-03,009,635 / 638 / 632 / 637 / 135,635 / 638,632 / 637 / 135,none,×
6181,2023-04-04,911,635 / 638 / 935 / 639 / 235,635 / 638,935 / 639 / 235,none,×
6182,2023-04-05,644,905 / 605 / 635 / 935 / 105,905 / 605,635 / 935 / 105,none,×
6183,2023-04-06,258,635 / 638 / 637 / 632 / 625,635 / 638,637 / 632 / 625,none,×
6184,2023-04-07,278,638 / 608 / 698 / 635 / 618,638 / 608,698 / 635 / 618,none,×
6185,2023-04-10,847,638 / 608 / 308 / 338 / 938,638 / 608,308 / 338 / 938,none,×
6186,2023-04-11,600,639 / 638 / 629 / 637 / 679,639 / 638,629 / 637 / 679,none,×
6187,2023-04-12,890,638 / 635 / 138 / 639 / 608,638 / 635,138 / 639 / 608,none,×
6188,2023-04-13,101,638 / 635 / 608 / 658 / 639,638 / 635,608 / 658 / 639,none,×
6189,2023-04-14,543,335 / 338 / 135 / 332 / 337,335 / 338,135 / 332 / 337,none,×
6190,2023-04-17,072,638 / 637 / 631 / 938 / 937,638 / 637,631 / 938 / 937,none,×
6191,2023-04-18,188,601 / 631 / 641 / 607 / 608,601 / 631,641 / 607 / 608,none,×
6192,2023-04-19,733,308 / 108 / 305 / 338 / 608,308 / 108,305 / 338 / 608,none,×
6193,2023-04-20,423,608 / 638 / 607 / 601 / 648,608 / 638,607 / 601 / 648,none,×
6194,2023-04-21,962,968 / 928 / 978 / 967 / 961,968 / 928,978 / 967 / 961,none,×
6195,2023-04-24,178,601 / 901 / 671 / 101 / 971,601 / 901,671 / 101 / 971,none,×
6196,2023-04-25,273,308 / 338 / 108 / 348 / 138,308 / 338,108 / 348 / 138,none,×
6197,2023-04-26,799,608 / 638 / 308 / 607 / 108,608 / 638,308 / 607 / 108,none,×
6198,2023-04-27,958,635 / 638 / 605 / 608 / 135,635 / 638,605 / 608 / 135,none,×
6199,2023-04-28,953,608 / 108 / 138 / 638 / 198,608 / 108,138 / 638 / 198,none,×
6200,2023-05-01,237,608 / 908 / 108 / 638 / 138,608 / 908,108 / 638 / 138,none,×
6201,2023-05-02,372,609 / 608 / 309 / 639 / 109,609 / 608,309 / 639 / 109,none,×
6202,2023-05-03,828,601 / 631 / 608 / 638 / 641,601 / 631,608 / 638 / 641,none,×
6203,2023-05-04,019,678 / 668 / 628 / 658 / 648,678 / 668,628 / 658 / 648,none,×
6204,2023-05-05,788,608 / 605 / 638 / 635 / 678,608 / 605,638 / 635 / 678,none,×
6205,2023-05-08,734,608 / 638 / 678 / 658 / 605,608 / 638,678 / 658 / 605,none,×
6206,2023-05-09,675,608 / 638 / 648 / 605 / 635,608 / 638,648 / 605 / 635,none,×
6207,2023-05-10,746,632 / 602 / 638 / 608 / 642,632 / 602,638 / 608 / 642,none,×
6208,2023-05-11,218,635 / 637 / 675 / 638 / 632,635 / 637,675 / 638 / 632,none,×
6209,2023-05-12,140,608 / 308 / 638 / 908 / 108,608 / 308,638 / 908 / 108,none,×
6210,2023-05-15,055,338 / 378 / 138 / 348 / 238,338 / 378,138 / 348 / 238,none,×
6211,2023-05-16,464,632 / 602 / 692 / 638 / 642,632 / 602,692 / 638 / 642,none,×
6212,2023-05-17,620,978 / 908 / 975 / 905 / 948,978 / 908,975 / 905 / 948,none,×
6213,2023-05-18,350,678 / 628 / 668 / 648 / 658,678 / 628,668 / 648 / 658,none,×
6214,2023-05-19,138,638 / 608 / 618 / 698 / 648,638 / 608,618 / 698 / 648,none,×
6215,2023-05-22,292,308 / 348 / 338 / 378 / 108,308 / 348,338 / 378 / 108,none,×
6216,2023-05-23,931,631 / 638 / 338 / 331 / 931,631 / 638,338 / 331 / 931,straight,◎
6217,2023-05-24,584,938 / 908 / 138 / 948 / 638,938 / 908,138 / 948 / 638,none,×
6218,2023-05-25,908,608 / 638 / 908 / 938 / 635,608 / 638,908 / 938 / 635,straight,◎
6219,2023-05-26,277,938 / 138 / 638 / 838 / 438,938 / 138,638 / 838 / 438,none,×
6220,2023-05-29,022,938 / 638 / 338 / 308 / 908,938 / 638,338 / 308 / 908,none,×
6221,2023-05-30,041,671 / 678 / 621 / 661 / 628,671 / 678,621 / 661 / 628,none,×
6222,2023-05-31,047,638 / 635 / 678 / 632 / 238,638 / 635,678 / 632 / 238,none,×
6223,2023-06-01,608,638 / 639 / 678 / 632 / 679,638 / 639,678 / 632 / 679,none,×
6224,2023-06-02,322,638 / 138 / 738 / 635 / 608,638 / 138,738 / 635 / 608,none,×
6225,2023-06-05,753,671 / 641 / 621 / 678 / 651,671 / 641,621 / 678 / 651,none,×
6226,2023-06-06,076,638 / 608 / 648 / 658 / 698,638 / 608,648 / 658 / 698,none,×
6227,2023-06-07,995,635 / 645 / 637 / 605 / 638,635 / 645,637 / 605 / 638,none,×
6228,2023-06-08,232,932 / 632 / 938 / 132 / 832,932 / 632,938 / 132 / 832,none,×
6229,2023-06-09,583,931 / 941 / 901 / 631 / 641,931 / 941,901 / 631 / 641,none,×
6230,2023-06-12,088,608 / 908 / 638 / 938 / 607,608 / 908,638 / 938 / 607,none,×
6231,2023-06-13,370,608 / 638 / 678 / 648 / 908,608 / 638,678 / 648 / 908,none,×
6232,2023-06-14,809,638 / 648 / 608 / 658 / 635,638 / 648,608 / 658 / 635,none,×
6233,2023-06-15,469,638 / 635 / 938 / 608 / 632,638 / 635,938 / 608 / 632,none,×
6234,2023-06-16,377,978 / 908 / 975 / 948 / 678,978 / 908,975 / 948 / 678,none,×
6235,2023-06-19,893,638 / 648 / 608 / 639 / 649,638 / 648,608 / 639 / 649,none,×
6236,2023-06-20,499,638 / 637 / 631 / 632 / 658,638 / 637,631 / 632 / 658,none,×
6237,2023-06-21,941,938 / 935 / 638 / 438 / 958,938 / 935,638 / 438 / 958,none,×
6238,2023-06-22,357,938 / 138 / 978 / 638 / 178,938 / 138,978 / 638 / 178,none,×
6239,2023-06-23,781,638 / 639 / 698 / 648 / 608,638 / 639,698 / 648 / 608,none,×
6240,2023-06-26,600,608 / 638 / 678 / 605 / 602,608 / 638,678 / 605 / 602,none,×
6241,2023-06-27,305,638 / 138 / 738 / 608 / 238,638 / 138,738 / 608 / 238,none,×
6242,2023-06-28,342,632 / 638 / 602 / 642 / 672,632 / 638,602 / 642 / 672,none,×
6243,2023-06-29,795,631 / 671 / 641 / 638 / 648,631 / 671,641 / 638 / 648,none,×
6244,2023-06-30,455,632 / 638 / 652 / 932 / 602,632 / 638,652 / 932 / 602,none,×
6245,2023-07-03,430,932 / 942 / 902 / 992 / 952,932 / 942,902 / 992 / 952,none,×
6246,2023-07-04,921,948 / 938 / 908 / 978 / 958,948 / 938,908 / 978 / 958,none,×
6247,2023-07-05,574,978 / 948 / 958 / 928 / 968,978 / 948,958 / 928 / 968,none,×
6248,2023-07-06,893,938 / 638 / 908 / 608 / 948,938 / 638,908 / 608 / 948,box,〇
6249,2023-07-07,637,638 / 631 / 637 / 658 / 608,638 / 631,637 / 658 / 608,straight,◎
6250,2023-07-10,888,608 / 648 / 638 / 609 / 649,608 / 648,638 / 609 / 649,none,×
6251,2023-07-11,688,608 / 638 / 658 / 648 / 678,608 / 638,658 / 648 / 678,none,×
6252,2023-07-12,339,608 / 638 / 658 / 708 / 648,608 / 638,658 / 708 / 648,none,×
6253,2023-07-13,112,608 / 648 / 638 / 645 / 635,608 / 648,638 / 645 / 635,none,×
6254,2023-07-14,642,301 / 308 / 331 / 371 / 338,301 / 308,331 / 371 / 338,none,×
6255,2023-07-17,974,631 / 638 / 671 / 641 / 648,631 / 638,671 / 641 / 648,none,×
6256,2023-07-18,097,938 / 908 / 948 / 638 / 608,938 / 908,948 / 638 / 608,none,×
6257,2023-07-19,857,638 / 639 / 632 / 658 / 938,638 / 639,632 / 658 / 938,none,×
6258,2023-07-20,430,638 / 698 / 648 / 608 / 658,638 / 698,648 / 608 / 658,none,×
6259,2023-07-21,831,948 / 908 / 938 / 978 / 958,948 / 908,938 / 978 / 958,none,×
6260,2023-07-24,785,638 / 648 / 608 / 642 / 632,638 / 648,608 / 642 / 632,none,×
6261,2023-07-25,023,602 / 632 / 652 / 608 / 642,602 / 632,652 / 608 / 642,none,×
6262,2023-07-26,199,678 / 658 / 648 / 698 / 628,678 / 658,648 / 698 / 628,none,×
6263,2023-07-27,243,338 / 038 / 335 / 358 / 238,338 / 038,335 / 358 / 238,none,×
6264,2023-07-28,558,338 / 638 / 938 / 378 / 348,338 / 638,938 / 378 / 348,none,×
6265,2023-07-31,353,638 / 938 / 698 / 648 / 658,638 / 938,698 / 648 / 658,none,×
6266,2023-08-01,684,638 / 698 / 658 / 648 / 608,638 / 698,658 / 648 / 608,box,〇
6267,2023-08-02,507,608 / 638 / 658 / 605 / 648,608 / 638,658 / 605 / 648,none,×
6268,2023-08-03,427,638 / 938 / 632 / 639 / 932,638 / 938,632 / 639 / 932,none,×
6269,2023-08-04,485,958 / 978 / 948 / 952 / 998,958 / 978,948 / 952 / 998,none,×
6270,2023-08-07,555,902 / 932 / 952 / 908 / 972,902 / 932,952 / 908 / 972,none,×
6271,2023-08-08,422,632 / 932 / 652 / 692 / 952,632 / 932,652 / 692 / 952,none,×
6272,2023-08-09,840,951 / 971 / 941 / 991 / 958,951 / 971,941 / 991 / 958,none,×
6273,2023-08-10,692,638 / 648 / 678 / 635 / 658,638 / 648,678 / 635 / 658,none,×
6274,2023-08-11,485,631 / 638 / 651 / 637 / 731,631 / 638,651 / 637 / 731,none,×
6275,2023-08-14,622,902 / 932 / 952 / 602 / 402,902 / 932,952 / 602 / 402,none,×
6276,2023-08-15,747,651 / 641 / 691 / 671 / 621,651 / 641,691 / 671 / 621,none,×
6277,2023-08-16,748,638 / 632 / 639 / 648 / 637,638 / 632,639 / 648 / 637,none,×
6278,2023-08-17,068,638 / 648 / 678 / 635 / 637,638 / 648,678 / 635 / 637,none,×
6279,2023-08-18,035,648 / 678 / 608 / 658 / 638,648 / 678,608 / 658 / 638,none,×
6280,2023-08-21,846,642 / 632 / 602 / 692 / 652,642 / 632,602 / 692 / 652,none,×
6281,2023-08-22,935,635 / 645 / 637 / 647 / 675,635 / 645,637 / 647 / 675,none,×
6282,2023-08-23,326,642 / 942 / 842 / 632 / 932,642 / 942,842 / 632 / 932,box,〇
6283,2023-08-24,758,645 / 647 / 655 / 695 / 675,645 / 647,655 / 695 / 675,none,×
6284,2023-08-25,901,638 / 648 / 698 / 658 / 635,638 / 648,698 / 658 / 635,none,×
6285,2023-08-28,075,635 / 935 / 638 / 938 / 835,635 / 935,638 / 938 / 835,none,×
6286,2023-08-29,672,642 / 632 / 602 / 648 / 652,642 / 632,602 / 648 / 652,none,×
6287,2023-08-30,216,641 / 631 / 601 / 648 / 645,641 / 631,601 / 648 / 645,none,×
6288,2023-08-31,052,305 / 605 / 635 / 905 / 335,305 / 605,635 / 905 / 335,none,×
6289,2023-09-01,781,631 / 691 / 651 / 641 / 601,631 / 691,651 / 641 / 601,none,×
6290,2023-09-04,940,605 / 635 / 602 / 608 / 632,605 / 635,602 / 608 / 632,none,×
6291,2023-09-05,007,938 / 638 / 948 / 648 / 838,938 / 638,948 / 648 / 838,none,×
6292,2023-09-06,117,638 / 632 / 639 / 637 / 635,638 / 632,639 / 637 / 635,none,×
6293,2023-09-07,164,308 / 302 / 338 / 307 / 358,308 / 302,338 / 307 / 358,none,×
6294,2023-09-08,928,348 / 308 / 378 / 375 / 345,348 / 308,378 / 375 / 345,none,×
6295,2023-09-11,286,948 / 958 / 648 / 658 / 978,948 / 958,648 / 658 / 978,none,×
6296,2023-09-12,917,305 / 905 / 605 / 307 / 607,305 / 905,605 / 307 / 607,none,×
6297,2023-09-13,751,908 / 902 / 608 / 907 / 938,908 / 902,608 / 907 / 938,none,×
6298,2023-09-14,580,635 / 645 / 695 / 605 / 638,635 / 645,695 / 605 / 638,none,×
6299,2023-09-15,579,608 / 908 / 638 / 658 / 648,608 / 908,638 / 658 / 648,none,×
6300,2023-09-18,577,645 / 648 / 945 / 635 / 605,645 / 648,945 / 635 / 605,none,×
6301,2023-09-19,484,648 / 948 / 642 / 647 / 608,648 / 948,642 / 647 / 608,none,×
6302,2023-09-20,669,908 / 905 / 938 / 935 / 907,908 / 905,938 / 935 / 907,none,×
6303,2023-09-21,876,675 / 605 / 678 / 645 / 608,675 / 605,678 / 645 / 608,box,〇
6304,2023-09-22,017,645 / 635 / 647 / 605 / 637,645 / 635,647 / 605 / 637,none,×
6305,2023-09-25,951,608 / 607 / 609 / 638 / 602,608 / 607,609 / 638 / 602,none,×
6306,2023-09-26,251,935 / 635 / 945 / 955 / 932,935 / 635,945 / 955 / 932,none,×
6307,2023-09-27,305,935 / 635 / 955 / 355 / 335,935 / 635,955 / 355 / 335,none,×
6308,2023-09-28,184,632 / 652 / 642 / 638 / 602,632 / 652,642 / 638 / 602,none,×
6309,2023-09-29,103,308 / 305 / 358 / 307 / 355,308 / 305,358 / 307 / 355,none,×
6310,2023-10-02,951,337 / 338 / 331 / 037 / 038,337 / 338,331 / 037 / 038,none,×
6311,2023-10-03,220,955 / 935 / 905 / 945 / 655,955 / 935,905 / 945 / 655,none,×
6312,2023-10-04,484,358 / 958 / 658 / 348 / 948,358 / 958,658 / 348 / 948,none,×
6313,2023-10-05,068,905 / 908 / 907 / 958 / 955,905 / 908,907 / 958 / 955,none,×
6314,2023-10-06,235,678 / 608 / 648 / 658 / 675,678 / 608,648 / 658 / 675,none,×
6315,2023-10-09,209,942 / 642 / 342 / 932 / 902,942 / 642,342 / 932 / 902,box,〇
6316,2023-10-10,414,935 / 635 / 335 / 938 / 638,935 / 635,335 / 938 / 638,none,×
6317,2023-10-11,590,905 / 908 / 958 / 955 / 935,905 / 908,958 / 955 / 935,box,〇
6318,2023-10-12,550,638 / 938 / 658 / 635 / 958,638 / 938,658 / 635 / 958,none,×
6319,2023-10-13,549,658 / 638 / 958 / 938 / 608,658 / 638,958 / 938 / 608,none,×
6320,2023-10-16,149,635 / 935 / 638 / 645 / 938,635 / 935,638 / 645 / 938,none,×
6321,2023-10-17,844,335 / 345 / 338 / 348 / 035,335 / 345,338 / 348 / 035,none,×
6322,2023-10-18,373,638 / 648 / 635 / 645 / 637,638 / 648,635 / 645 / 637,none,×
6323,2023-10-19,985,647 / 648 / 637 / 607 / 638,647 / 648,637 / 607 / 638,none,×
6324,2023-10-20,712,902 / 952 / 932 / 602 / 802,902 / 952,932 / 602 / 802,none,×
6325,2023-10-23,110,601 / 651 / 631 / 671 / 901,601 / 651,631 / 671 / 901,none,×
6326,2023-10-24,509,308 / 358 / 338 / 058 / 008,308 / 358,338 / 058 / 008,none,×
6327,2023-10-25,880,635 / 935 / 638 / 938 / 835,635 / 935,638 / 938 / 835,none,×
6328,2023-10-26,878,608 / 658 / 638 / 605 / 648,608 / 658,638 / 605 / 648,none,×
6329,2023-10-27,374,648 / 608 / 638 / 645 / 605,648 / 608,638 / 645 / 605,none,×
6330,2023-10-30,400,648 / 608 / 645 / 638 / 605,648 / 608,645 / 638 / 605,none,×
6331,2023-10-31,645,938 / 935 / 638 / 908 / 438,938 / 935,638 / 908 / 438,none,×
6332,2023-11-01,208,642 / 632 / 672 / 742 / 142,642 / 632,672 / 742 / 142,none,×
6333,2023-11-02,840,938 / 638 / 338 / 935 / 635,938 / 638,338 / 935 / 635,none,×
6334,2023-11-03,006,648 / 638 / 678 / 645 / 635,648 / 638,678 / 645 / 635,none,×
6335,2023-11-06,282,635 / 637 / 645 / 935 / 605,635 / 637,645 / 935 / 605,none,×
6336,2023-11-07,595,901 / 301 / 601 / 801 / 401,901 / 301,601 / 801 / 401,none,×
6337,2023-11-08,114,932 / 632 / 652 / 952 / 832,932 / 632,652 / 952 / 832,none,×
6338,2023-11-09,866,308 / 305 / 208 / 358 / 205,308 / 305,208 / 358 / 205,none,×
6339,2023-11-10,060,605 / 675 / 645 / 607 / 647,605 / 675,645 / 607 / 647,none,×
6340,2023-11-13,566,608 / 678 / 648 / 605 / 675,608 / 678,648 / 605 / 675,none,×
